course	lesson	exercise	student	instructor	createdAt	isCorrect	isError	command	errorMsg
INTRO	INTRO1	5	atarr	FSI2017	Mon Jun 12 14:06:46 2017	TRUE	FALSE	8 - 2	
INTRO	INTRO1	6	atarr	FSI2017	Mon Jun 12 14:06:52 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	7	atarr	FSI2017	Mon Jun 12 14:06:54 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	9	atarr	FSI2017	Mon Jun 12 14:06:56 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	10	atarr	FSI2017	Mon Jun 12 14:06:57 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	12	atarr	FSI2017	Mon Jun 12 14:06:59 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	15	atarr	FSI2017	Mon Jun 12 14:07:02 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	17	atarr	FSI2017	Mon Jun 12 14:07:04 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	18	atarr	FSI2017	Mon Jun 12 14:07:06 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	19	atarr	FSI2017	Mon Jun 12 14:07:07 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	21	atarr	FSI2017	Mon Jun 12 14:07:12 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	22	atarr	FSI2017	Mon Jun 12 14:07:13 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	23	atarr	FSI2017	Mon Jun 12 14:07:15 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	25	atarr	FSI2017	Mon Jun 12 14:07:17 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	26	atarr	FSI2017	Mon Jun 12 14:07:25 2017	FALSE	FALSE	the average of the remaining numbers	
INTRO	INTRO1	26	atarr	FSI2017	Mon Jun 12 14:07:27 2017	TRUE	FALSE	a missing value	
INTRO	INTRO1	5	hubertj	FSI2017	Mon Jun 12 11:58:21 2017	TRUE	FALSE	8 - 2	
INTRO	INTRO1	6	hubertj	FSI2017	Mon Jun 12 11:58:34 2017	TRUE	FALSE	10^2	
INTRO	INTRO1	7	hubertj	FSI2017	Mon Jun 12 11:58:48 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	9	hubertj	FSI2017	Mon Jun 12 11:59:06 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	10	hubertj	FSI2017	Mon Jun 12 11:59:17 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	12	hubertj	FSI2017	Mon Jun 12 11:59:35 2017	TRUE	FALSE	SKIPPED	
INTRO	INTRO1	15	hubertj	FSI2017	Mon Jun 12 11:59:55 2017	TRUE	FALSE	SKIPPED	
