course	lesson	student	instructor	createdAt
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:38 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:46 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:52 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:54 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:56 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:57 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:06:59 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:02 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:04 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:06 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:07 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:12 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:13 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:15 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:17 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:25 2017
INTRO	INTRO1	atarr	FSI2017	Mon Jun 12 14:07:27 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:05:38 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:05:52 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:06:48 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:51:29 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:54:19 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:54:46 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:55:14 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:55:30 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:55:45 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:56:20 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:56:36 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:56:56 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:57:15 2017
CAUSALITY	CAUSALITY1	haixiaow	FSI2017	Thu Jun 15 10:57:37 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 09:50:08 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 10:01:55 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 10:02:21 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 10:02:36 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 10:02:56 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 10:03:05 2017
INTRO	INTRO1	haixiaow	FSI2017	Thu Jun 15 10:03:22 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:57:47 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:58:21 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:58:34 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:58:48 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:59:06 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:59:17 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:59:35 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 11:59:55 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:00:13 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:00:23 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:00:33 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:00:53 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:01:04 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:02:24 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:02:44 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:02:56 2017
INTRO	INTRO1	hubertj	FSI2017	Mon Jun 12 12:03:04 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:01:00 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:01:06 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:01:20 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:18 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:22 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:25 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:45 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:48 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:49 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:51 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:53 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:54 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:03:55 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:06 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:07 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:09 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:10 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:11 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:13 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:15 2017
INTRO	INTRO1	hubertj	FSI2017	Tue Jun 13 17:04:16 2017
INTRO	INTRO2	hubertj	FSI2017	Mon Jun 12 12:04:56 2017
